"OBJECTID","ZIP","CONFIRMED","RECOVERED","Shape__Area","Shape__Length","Date"
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-11
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-11
7,13210,1146,1044,121905640.670776,57335.7651082135,2020-12-14
12,13208,786,619,68307159.7624512,48130.7427291604,2020-12-14
10,13204,829,587,138470966.714478,58264.9609811198,2020-12-14
4,13205,892,555,86419018.9277344,55929.5836657691,2020-12-14
9,13203,759,528,47834286.2580566,35256.502661724,2020-12-14
3,13207,526,356,81889567.5168457,64412.8619051985,2020-12-14
11,13206,470,310,54675608.9171753,36964.9795369121,2020-12-14
5,13202,264,201,29913051.0748291,27251.3483985363,2020-12-14
8,13224,227,159,51407562.5394897,39761.1292276494,2020-12-14
13,13214,94,74,14781597.3684692,26803.5491393636,2020-12-14
2,13215,8,5,4926249.24188232,14693.0688167955,2020-12-14
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-14
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-14
7,13210,1154,1064,121905640.670776,57335.7651082135,2020-12-15
12,13208,796,639,68307159.7624512,48130.7427291604,2020-12-15
10,13204,845,624,138470966.714478,58264.9609811198,2020-12-15
4,13205,913,570,86419018.9277344,55929.5836657691,2020-12-15
9,13203,768,551,47834286.2580566,35256.502661724,2020-12-15
3,13207,541,374,81889567.5168457,64412.8619051985,2020-12-15
11,13206,487,330,54675608.9171753,36964.9795369121,2020-12-15
5,13202,266,207,29913051.0748291,27251.3483985363,2020-12-15
8,13224,234,170,51407562.5394897,39761.1292276494,2020-12-15
13,13214,96,74,14781597.3684692,26803.5491393636,2020-12-15
2,13215,8,6,4926249.24188232,14693.0688167955,2020-12-15
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-15
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-15
7,13210,1164,1088,121905640.670776,57335.7651082135,2020-12-16
10,13204,866,686,138470966.714478,58264.9609811198,2020-12-16
12,13208,805,678,68307159.7624512,48130.7427291604,2020-12-16
4,13205,929,610,86419018.9277344,55929.5836657691,2020-12-16
9,13203,774,586,47834286.2580566,35256.502661724,2020-12-16
3,13207,547,409,81889567.5168457,64412.8619051985,2020-12-16
11,13206,493,369,54675608.9171753,36964.9795369121,2020-12-16
5,13202,270,219,29913051.0748291,27251.3483985363,2020-12-16
8,13224,241,182,51407562.5394897,39761.1292276494,2020-12-16
13,13214,97,75,14781597.3684692,26803.5491393636,2020-12-16
2,13215,8,6,4926249.24188232,14693.0688167955,2020-12-16
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-16
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-16
7,13210,1172,1101,121905640.670776,57335.7651082135,2020-12-17
10,13204,891,719,138470966.714478,58264.9609811198,2020-12-17
12,13208,819,693,68307159.7624512,48130.7427291604,2020-12-17
4,13205,946,630,86419018.9277344,55929.5836657691,2020-12-17
9,13203,786,606,47834286.2580566,35256.502661724,2020-12-17
3,13207,559,436,81889567.5168457,64412.8619051985,2020-12-17
11,13206,511,387,54675608.9171753,36964.9795369121,2020-12-17
5,13202,272,224,29913051.0748291,27251.3483985363,2020-12-17
8,13224,245,192,51407562.5394897,39761.1292276494,2020-12-17
13,13214,98,76,14781597.3684692,26803.5491393636,2020-12-17
2,13215,9,6,4926249.24188232,14693.0688167955,2020-12-17
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-17
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-17
7,13210,1186,1104,121905640.670776,57335.7651082135,2020-12-18
10,13204,907,725,138470966.714478,58264.9609811198,2020-12-18
12,13208,836,698,68307159.7624512,48130.7427291604,2020-12-18
4,13205,978,639,86419018.9277344,55929.5836657691,2020-12-18
